Group	Characteristic	Unit	P100	1080Ti	V100	2080Ti	1660Ti	A40	A10G
	Architecture		Pascal	Pascal	Volta	Turing	Turing	Ampere	Ampere
	Number of SM		56	28	80	68	24	84	72
	Cores		3,584	3,584	5,120	4,352	1,536	10,752	9216
Cache Size	L1	KB/SM	24	48	128	64	64	128	128
Cache Size	L2	MB	4.0	2.8	6.2	5.5	1.5	6.0	6
Clock Speed	Base	MHz	1,126	1,480	1,230	1,350	1,500	1,305	1320
Clock Speed	Max Boost	MHz	1,303	1,582	1,370	1,545	1,770	1,740	1710
Memory	Bus Width	bit	4,096	352	4,096	352	192	384	384
Memory	Size	GB	16	11	32	11	6	48	24
Memory	Clock	MT/S	1,430	11,000	1,750	14,000	12,000	7,248	6,252
Memory	Bandwidth	GB/s	732	484	900	616	288	696	600
Processing Power	Half Precision	TFLOPS	21.20	0.17	112.22	23.50	9.22	149.68	31.52
Processing Power	Single Precision	TFLOPS	10.60	10.61	14.03	11.75	4.61	37.42	31.52
Processing Power	Double Precision	TFLOPS	5.30	0.33	7.01	0.32	0.14	0.58	0.99